,x,y,z,vx,vy,vz,roll,pitch,yaw
0.1809,-0.00042985568575356324,0.00021506351622529576,10.043717241667984,-0.009512305569405233,0.004760661882410209,0.4833184209894418,-0.00632952421514732,-0.006329397765530764,2.0001663682645534e-05
0.18100000000000002,-0.00043080691631050376,0.00021553958241353678,10.043765573510083,-0.009528079142528793,0.004768561150403267,0.4835854077262091,-0.006336522217587959,-0.006336395347916746,2.0045932055687895e-05
0.1811,-0.00043175972422475665,0.0002160164385285771,10.043813932050854,-0.009543870126532107,0.004776469151460559,0.4838523943523616,-0.006343524086948271,-0.006343396796060663,2.009027387195548e-05
0.1812,-0.00043271411123740986,0.00021649408544372316,10.043862317290289,-0.009559678530971762,0.004784385890406206,0.4841193808677158,-0.006350529823230033,-0.006350402109961184,2.0134689212641057e-05
0.18130000000000002,-0.000433670079090507,0.00021697252403276378,10.043910729228376,-0.009575504365404233,0.004792311372064328,0.484386367272088,-0.006357539426435022,-0.006357411289617421,2.017917815898227e-05
0.1814,-0.00043462762952704745,0.00021745175516997022,10.043959167865102,-0.009591347639385897,0.004800245601259043,0.48465335356529443,-0.006364552896565012,-0.006364424335028929,2.0223740792261652e-05
0.18150000000000002,-0.00043558676429098604,0.00021793177973009612,10.04400763320046,-0.009607208362473018,0.004808188582814467,0.484920339747151,-0.006371570233621782,-0.006371441246194376,2.026837719380661e-05
0.1816,-0.0004365474851272333,0.00021841259858837756,10.044056125234434,-0.009623086544221756,0.004816140321554714,0.4851873258174734,-0.006378591437606662,-0.006378462023113318,2.0313087444989448e-05
0.1817,-0.0004375097937816555,0.00021889421262053305,10.044104643967016,-0.009638982194188168,0.004824100822303895,0.48545431177607734,-0.006385616508521874,-0.006385486665784423,2.035787162722734e-05
0.18180000000000002,-0.0004384736920010743,0.00021937662270276343,10.044153189398193,-0.009654895321928203,0.0048320700898861185,0.48572129762277805,-0.00639264544636875,-0.006392515174207247,2.040272982198235e-05
0.1819,-0.00043943918153326717,0.00021985982971175203,10.044201761527955,-0.009670825936997703,0.004840048129125492,0.4859882833573907,-0.006399678251149066,-0.006399547548380458,2.0447662110761433e-05
0.182,-0.00044040626412696695,0.00022034383452466458,10.04425036035629,-0.009686774048952405,0.00484803494484612,0.4862552689797302,-0.006406714922864598,-0.00640658378830361,2.0492668575116415e-05
0.1821,-0.0004413749415318622,0.00022082863801914918,10.044298985883188,-0.009702739667347941,0.004856030541872104,0.48652225448961134,-0.006413755461517567,-0.006413623893975817,2.0537749296644012e-05
0.1822,-0.000442345215498597,0.00022131424107333639,10.044347638108636,-0.009718722801739835,0.0048640349250275465,0.48678923988684863,-0.006420799867109306,-0.00642066786539619,2.0582904356985824e-05
0.18230000000000002,-0.000443317087778771,0.00022180064456583915,10.044396317032625,-0.009734723461683508,0.004872048099136545,0.4870562251712564,-0.006427848139641146,-0.006427715702563397,2.0628133837828335e-05
0.1824,-0.00044429056012493934,0.0002222878493757528,10.044445022655141,-0.00975074165673427,0.004880070069023195,0.48732321034264875,-0.006434900279115308,-0.006434767405476993,2.0673437820902915e-05
